Codename,Alias,Lat,Lon,ITEM2012,area,perimeter
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,11609.2998046875,1187.70854752488
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,2387.7373046875,215.723150470223
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,277.6572265625,114.721221253239
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,7117.7138671875,2347.08183889235
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,1329.990234375,462.134186832383
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,1067.84375,324.722980031467
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,11956.4970703125,3519.72020958297
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,7896.244140625,2198.13220843645
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,9836.9189453125,2117.47242561583
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,1347.61328125,472.966930248535
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,9076.0673828125,2795.5899551856
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,2113.0009765625,709.49340741114
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,299.8125,112.158533015161
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,4275.38671875,1393.07657649638
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,1471.6875,467.095545776867
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,4513.482421875,1313.17997737127
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,786.248046875,272.332540417664
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,7.2294921875,13.8137429588285
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,237.794921875,91.2766082687063
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,992.35546875,396.207392250596
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,327.2802734375,157.227264114312
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,11667.86328125,2681.62292733724
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,1201.578125,332.920242052521
