Codename,Alias,Lat,Lon,ITEM2012,area,perimeter
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,8916.359375,792.52169514211
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,319.0498046875,96.4405297358303
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,4145.107421875,1369.11212709635
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,402.78125,151.522672613566
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,5996.98828125,1850.20966873917
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,3624.390625,1012.179390434
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,4778.9814453125,889.779456356369
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,5330.7880859375,1606.71847141213
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,198.064453125,104.840096111906
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,299.8125,112.158533015161
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,1248.3310546875,464.273387242348
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,72.4736328125,37.1956406184679
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,3142.4482421875,868.613292491256
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,7.2294921875,13.8137429588285
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,83.34375,46.4236468395503
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,5966.046875,1212.74992396175
