Codename,Alias,Lat,Lon,ITEM2012,area,perimeter
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,151.0751953125,67.2627675896833
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,31331.2412109375,2965.97578689075
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,75.7314453125,37.9492706139429
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,499.98046875,178.408395698353
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,6336.951171875,1158.46419350374
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,23961.720703125,3485.39507989322
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,18040.3564453125,902.8208459408
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,2714.181640625,234.741299350846
H26,LapUp,38.291969000000002,21.788156000000001,Other roads and associated land,7.9306640625,13.5967936384632
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2830.3447265625,892.167840900337
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,30179.705078125,9480.96518894744
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,5726.8486328125,1911.26736401435
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,692.8154296875,254.609496647216
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2.365234375,9.36345643731238
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,77.94140625,38.2180855664152
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,13769.314453125,4567.88249868431
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2296.6455078125,656.540434865967
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2247.060546875,805.612724653786
H27,Aritis,38.284469000000001,21.765305999999999,Other roads and associated land,2427.646484375,714.822016212517
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,83809.9931640625,19865.7186593438
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,201.5615234375,78.5052569829719
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,71.9736328125,36.2751799392217
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,7901.759765625,2163.08009924027
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,1763.8056640625,527.969372817867
H28,Zakynthou,38.259222000000001,21.746347000000000,Other roads and associated land,94.3037109375,51.6619844130148
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,69992.00390625,13899.053820347
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,886.5927734375,269.312026547519
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,38631.328125,9156.13139494369
H31,Gounari,38.244875000000000,21.731674999999999,Other roads and associated land,3644.853515625,1065.16245211448
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,21400.408203125,4918.36071261831
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,964.451171875,166.054620092804
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,9155.9404296875,2742.32718317207
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,44676.7470703125,11153.6009185199
H32,Fintiou,38.234419000000003,21.735664000000000,Other roads and associated land,27189.5361328125,7652.03472191283
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,299.8125,112.158533015161
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,21901.162109375,6570.44256118832
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,18915.880859375,5240.09390197336
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,26883.4267578125,7443.92645486244
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,1270.6005859375,432.099538640002
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,7.2294921875,13.8137429588285
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,661.22265625,230.021317532636
H29,Isaiou,38.225647000000002,21.733011000000001,Other roads and associated land,17747.8466796875,5569.20448560996
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,13028.94140625,3512.65337054961
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,26534.0166015625,5899.54404744064
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,142.111328125,58.7354999918935
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,65.283203125,32.6093917232133
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,865.4990234375,299.498757691944
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,330.533203125,121.494998187574
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,6201.1552734375,2144.62303524704
H52,Dimaion,38.211322000000003,21.716843999999998,Other roads and associated land,1096.7548828125,377.292120822001
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,1563.435546875,470.996733860249
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,351.8984375,129.529388069093
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,184.46875,83.7276110305332
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,233.8681640625,90.7834363933108
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,10120.0830078125,2687.13216743212
H53,Mintilogli,38.186580999999997,21.706458000000001,Other roads and associated land,2905.95703125,986.883239397041
